GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,MoSold,YrSold,lat,long,TotalPorchSF
1137,176000,20,RL,54.0,13811,IR1,Timber,1Fam,1Story,6,6,1987,1987,HdBoard,BrkFace,72.0,TA,TA,CBlock,Gd,Gd,No,GLQ,980.0,40.0,92.0,1112.0,Gd,Y,SBrkr,1137,0,0,1.0,0.0,2,0,2,Gd,5,1,TA,Attchd,Unf,2.0,551.0,TA,TA,Y,125,7,2006,41.9996204,-93.6464233,0
1217,120000,160,RL,75.0,10762,Reg,SawyerW,TwnhsE,2Story,6,6,1980,1980,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,0.0,626.0,626.0,TA,Y,SBrkr,626,591,0,0.0,0.0,1,1,3,TA,6,1,TA,Attchd,RFn,1.0,288.0,TA,TA,Y,0,4,2009,42.0348177,-93.6859762,28
2494,321000,60,RL,74.1,10236,IR1,NoRidge,1Fam,2Story,8,5,1994,1995,VinylSd,BrkFace,501.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,380.0,168.0,742.0,1290.0,Ex,Y,SBrkr,1305,1189,0,1.0,0.0,2,1,4,Gd,9,1,TA,Attchd,Fin,3.0,803.0,TA,TA,Y,200,6,2006,42.050844,-93.6555375,95
1680,190000,160,FV,39.0,3515,Reg,Somerst,TwnhsE,2Story,7,5,2004,2004,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,0.0,840.0,840.0,Ex,Y,SBrkr,840,840,0,0.0,0.0,2,1,2,Gd,3,0,None,Attchd,RFn,2.0,588.0,TA,TA,Y,0,1,2010,42.0475151,-93.6462847,111
1165,174900,80,RL,82.0,9020,Reg,NAmes,1Fam,SLvl,6,7,1966,1966,HdBoard,BrkFace,183.0,TA,TA,CBlock,TA,TA,Gd,Rec,312.0,539.0,276.0,1127.0,TA,Y,SBrkr,1165,0,0,1.0,0.0,1,1,3,TA,6,0,None,Attchd,RFn,2.0,490.0,Gd,Gd,Y,0,5,2008,42.0392176,-93.6277568,129
641,85000,30,RM,50.0,7030,Reg,IDOTRR,1Fam,1Story,4,6,1925,1950,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,0.0,641.0,641.0,Gd,Y,SBrkr,641,0,0,0.0,0.0,1,0,2,Fa,4,0,None,Detchd,Unf,1.0,272.0,TA,TA,N,184,3,2006,42.0202214,-93.6292412,70
1310,164990,20,RL,65.0,8767,IR1,CollgCr,1Fam,1Story,7,5,2005,2005,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,0.0,1286.0,1310.0,Ex,Y,SBrkr,1310,0,0,0.0,0.0,2,0,3,Gd,6,1,Gd,Attchd,Fin,2.0,400.0,TA,TA,Y,0,7,2006,42.0139685,-93.6837373,0
1650,144100,50,RM,56.0,8398,Reg,OldTown,1Fam,1.5Fin,6,8,1910,1990,Wd Sdng,None,0.0,TA,TA,CBlock,Gd,Gd,No,BLQ,259.0,0.0,667.0,926.0,TA,Y,SBrkr,991,659,0,0.0,0.0,2,0,3,TA,6,0,None,Detchd,Unf,2.0,468.0,TA,TA,N,128,11,2007,42.0280648,-93.618812,103
1590,294900,20,RL,78.0,11645,Reg,CollgCr,1Fam,1Story,8,5,2005,2006,VinylSd,BrkFace,198.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1122.0,0.0,448.0,1570.0,Ex,Y,SBrkr,1590,0,0,1.0,0.0,2,1,2,Ex,6,0,None,Attchd,Fin,3.0,754.0,TA,TA,Y,176,8,2006,42.0237346,-93.6894636,80
1484,50000,50,RM,60.0,10320,Reg,IDOTRR,1Fam,1.5Fin,4,1,1910,1950,Wd Sdng,None,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0.0,0.0,771.0,771.0,Fa,Y,SBrkr,866,504,114,0.0,0.0,2,0,3,TA,6,0,None,Detchd,Unf,1.0,264.0,TA,Fa,N,14,9,2007,42.0230933,-93.6239373,295
2353,260000,60,RL,94.0,13005,IR1,NWAmes,1Fam,2Story,7,7,1980,1980,CemntBd,BrkFace,278.0,Gd,TA,CBlock,Gd,TA,No,GLQ,692.0,0.0,153.0,845.0,TA,Y,SBrkr,1153,1200,0,1.0,0.0,2,1,4,Ex,10,1,TA,Attchd,RFn,2.0,484.0,TA,TA,Y,288,8,2009,42.054149,-93.637571,195
1337,180000,120,RL,41.0,5395,IR1,StoneBr,TwnhsE,1Story,8,5,1993,1993,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,733.0,0.0,604.0,1337.0,Gd,Y,SBrkr,1337,0,0,1.0,0.0,2,0,2,Gd,5,1,TA,Attchd,RFn,2.0,462.0,TA,TA,Y,96,10,2008,42.060921,-93.634156,238
1898,236500,20,RL,56.0,26073,IR1,Crawfor,1Fam,1Story,5,5,1956,1956,BrkFace,None,0.0,TA,TA,PConc,TA,TA,No,Rec,1116.0,0.0,782.0,1898.0,Ex,Y,FuseA,1898,0,0,0.0,0.0,2,1,3,TA,7,2,TA,Attchd,Unf,2.0,484.0,TA,TA,Y,0,4,2008,42.0127932,-93.641751,275
660,63900,20,RL,68.7,9000,Reg,Sawyer,1Fam,1Story,2,2,1947,1950,Wd Sdng,None,0.0,TA,TA,Slab,None,None,None,None,0.0,0.0,0.0,0.0,Fa,N,SBrkr,660,0,0,0.0,0.0,1,0,2,Fa,5,0,None,None,None,0.0,0.0,None,None,N,0,6,2009,42.03273919999999,-93.6597296,100
1789,223000,60,FV,79.0,10646,IR1,Somerst,1Fam,2Story,7,5,2001,2001,VinylSd,BrkFace,513.0,TA,TA,PConc,TA,TA,No,GLQ,681.0,0.0,177.0,858.0,Ex,Y,SBrkr,872,917,0,1.0,0.0,2,1,3,TA,7,1,TA,Attchd,Fin,2.0,546.0,TA,TA,Y,0,6,2008,42.0468442,-93.6436912,0
1200,151000,160,FV,30.0,3180,Reg,Somerst,TwnhsE,2Story,7,5,2005,2005,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,0.0,600.0,600.0,Ex,Y,SBrkr,520,600,80,0.0,0.0,2,1,2,Gd,4,0,None,Detchd,RFn,2.0,480.0,TA,TA,Y,0,6,2006,42.04749169999999,-93.6451958,166
1505,149500,20,RL,128.0,12160,Reg,NAmes,1Fam,1Story,6,4,1953,1953,Wd Sdng,BrkFace,90.0,TA,TA,CBlock,TA,TA,No,BLQ,1024.0,0.0,481.0,1505.0,Ex,Y,SBrkr,1505,0,0,1.0,0.0,1,0,2,TA,6,1,TA,Attchd,RFn,2.0,505.0,TA,TA,Y,0,2,2009,42.0350609,-93.6254413,162
1609,149900,50,RL,75.0,9525,Reg,Edwards,1Fam,1.5Fin,6,5,1953,1953,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,468.0,0.0,532.0,1000.0,TA,Y,SBrkr,1068,541,0,0.0,0.0,1,1,5,TA,7,0,None,Attchd,Unf,1.0,305.0,Fa,TA,Y,0,7,2006,42.025474,-93.6658691,0
2696,500000,20,RL,110.0,14300,Reg,NridgHt,1Fam,1Story,9,5,2003,2004,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373.0,0.0,1473.0,2846.0,Ex,Y,SBrkr,2696,0,0,1.0,0.0,2,1,3,Ex,10,2,Gd,Attchd,Fin,3.0,958.0,TA,TA,Y,220,6,2010,42.0580082,-93.6563432,150
1040,92900,90,RL,60.0,8544,Reg,NAmes,Duplex,1Story,3,4,1950,1950,BrkFace,None,0.0,TA,TA,Slab,None,None,None,None,0.0,0.0,0.0,0.0,Fa,N,FuseA,1040,0,0,0.0,0.0,2,0,2,TA,6,0,None,Detchd,Unf,2.0,400.0,TA,TA,Y,0,6,2009,42.0358775,-93.6092951,0
1419,290000,120,FV,42.0,4385,IR1,Somerst,TwnhsE,1Story,9,5,2001,2001,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,964.0,0.0,455.0,1419.0,Ex,Y,SBrkr,1419,0,0,1.0,0.0,1,1,2,Ex,5,1,TA,Attchd,Fin,2.0,588.0,TA,TA,Y,155,9,2008,42.04653,-93.647093,58
2122,345474,20,RL,110.0,14333,Reg,NridgHt,1Fam,1Story,8,5,2007,2007,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1518.0,0.0,590.0,2108.0,Ex,Y,SBrkr,2122,0,0,1.0,0.0,2,1,2,Gd,7,1,Ex,Attchd,Fin,3.0,938.0,TA,TA,Y,130,11,2007,42.0632843,-93.6555512,142
925,127000,20,RL,71.0,8540,Reg,NAmes,1Fam,1Story,5,8,1956,2003,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,114.0,691.0,120.0,925.0,TA,Y,SBrkr,925,0,0,1.0,0.0,1,0,3,Gd,5,0,None,Detchd,Unf,1.0,252.0,TA,TA,Y,152,6,2007,42.0400023,-93.6126387,0
1522,102000,50,RL,60.0,6000,Reg,SWISU,1Fam,1.5Fin,5,5,1926,1950,Wd Sdng,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,0.0,1008.0,1008.0,Ex,Y,SBrkr,1008,0,514,0.0,0.0,2,0,4,TA,7,0,None,None,None,0.0,0.0,None,None,P,0,6,2006,42.0182655,-93.6483239,138
1969,190000,60,RL,92.0,11952,Reg,NWAmes,1Fam,2Story,7,6,1977,1977,WdShing,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,0.0,808.0,808.0,TA,Y,SBrkr,1161,808,0,0.0,0.0,2,1,3,TA,8,1,Gd,Attchd,RFn,2.0,534.0,TA,TA,Y,0,11,2007,42.0549343,-93.633932,276
816,75200,30,RM,46.0,3672,Reg,IDOTRR,1Fam,1Story,5,7,1922,1950,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,0.0,816.0,816.0,Ex,Y,SBrkr,816,0,0,0.0,0.0,1,0,2,TA,5,0,None,Detchd,Unf,1.0,100.0,Fa,Fa,N,0,9,2007,42.0226931,-93.6255996,96
1206,108538,20,RL,87.0,10725,IR1,NAmes,1Fam,1Story,5,5,1959,1959,MetalSd,BrkFace,91.0,TA,TA,CBlock,TA,TA,No,Rec,936.0,0.0,270.0,1206.0,Fa,Y,SBrkr,1206,0,0,0.0,0.0,1,0,3,TA,6,0,None,Attchd,RFn,1.0,312.0,TA,TA,Y,0,5,2010,42.045041,-93.6151515,21
1232,142250,20,RL,80.0,9600,Reg,NAmes,1Fam,1Story,5,5,1966,1966,VinylSd,BrkFace,172.0,TA,TA,CBlock,TA,TA,No,Rec,698.0,0.0,534.0,1232.0,TA,Y,SBrkr,1232,0,0,1.0,0.0,1,1,3,TA,6,0,None,Attchd,RFn,2.0,490.0,TA,TA,Y,0,4,2010,42.0466844,-93.6267475,224
1339,180000,20,RL,50.0,8049,IR1,Timber,1Fam,1Story,7,5,1990,1990,HdBoard,BrkFace,54.0,TA,TA,CBlock,Gd,TA,No,ALQ,1053.0,0.0,256.0,1309.0,TA,Y,SBrkr,1339,0,0,1.0,0.0,2,0,2,TA,6,1,TA,Attchd,Fin,2.0,484.0,Gd,Gd,Y,0,7,2006,41.9976005,-93.6461263,148
972,132000,20,RL,50.0,8000,Reg,NAmes,1Fam,1Story,6,6,1948,2002,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,680.0,0.0,292.0,972.0,Ex,Y,SBrkr,972,0,0,1.0,0.0,1,0,2,TA,5,1,Gd,Detchd,Unf,1.0,240.0,TA,TA,Y,0,5,2009,42.0354284,-93.6174467,0
1350,152400,50,RL,63.0,8375,Reg,Sawyer,1Fam,1.5Fin,5,7,1941,1973,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,ALQ,336.0,0.0,240.0,576.0,Gd,Y,SBrkr,864,486,0,1.0,0.0,1,1,2,Gd,6,0,None,2Types,Unf,3.0,627.0,TA,TA,N,0,6,2008,42.0336461,-93.6603633,0
670,64000,50,RL,51.0,3500,Reg,BrkSide,1Fam,1.5Fin,3,5,1945,1950,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,144.0,0.0,226.0,370.0,TA,N,FuseA,442,228,0,1.0,0.0,1,0,2,Fa,4,0,None,None,None,0.0,0.0,None,None,N,0,7,2007,42.0364513,-93.6291224,21
2810,302000,60,RL,74.1,9572,IR1,NoRidge,1Fam,2Story,8,5,1990,1990,Wd Sdng,BrkFace,336.0,Gd,TA,PConc,Ex,TA,No,GLQ,482.0,0.0,971.0,1453.0,Ex,Y,SBrkr,1453,1357,0,0.0,0.0,2,1,4,Gd,9,1,Ex,Attchd,RFn,2.0,750.0,Gd,Gd,Y,500,6,2007,42.047486,-93.6539449,0
1522,182000,20,RL,74.6,11075,Reg,ClearCr,1Fam,1Story,6,5,1984,1984,Wd Sdng,BrkFace,136.0,TA,TA,PConc,Gd,TA,No,BLQ,299.0,891.0,0.0,1190.0,Ex,Y,SBrkr,1522,0,0,0.0,0.0,2,0,3,TA,7,1,TA,Attchd,Fin,2.0,552.0,TA,TA,Y,0,2,2007,42.0238453,-93.6739308,245
860,137000,85,RL,74.0,8740,IR1,Sawyer,1Fam,SFoyer,5,6,1982,1982,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,672.0,0.0,168.0,840.0,TA,Y,SBrkr,860,0,0,1.0,0.0,1,0,2,TA,4,0,None,Detchd,Unf,2.0,528.0,TA,TA,Y,0,7,2009,42.0314451,-93.6710417,0
1642,168000,60,RL,64.9,7655,IR1,Gilbert,1Fam,2Story,6,5,1993,1994,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,0.0,903.0,903.0,Gd,Y,SBrkr,910,732,0,0.0,0.0,2,1,3,TA,7,1,TA,Attchd,RFn,2.0,392.0,TA,TA,Y,290,7,2007,42.05754719999999,-93.6361687,84
1458,97500,50,RL,78.0,17503,Reg,NAmes,1Fam,1.5Fin,6,5,1948,1950,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,0.0,912.0,912.0,TA,Y,SBrkr,912,546,0,0.0,1.0,1,0,3,TA,6,1,Gd,Attchd,Unf,1.0,330.0,TA,TA,Y,192,1,2010,42.0357711,-93.6200587,0
1976,286000,60,RL,84.0,9660,IR1,NoRidge,1Fam,2Story,8,5,1998,1998,VinylSd,BrkFace,242.0,Gd,TA,PConc,Gd,TA,No,GLQ,791.0,0.0,253.0,1044.0,Ex,Y,SBrkr,1079,897,0,1.0,0.0,2,1,3,Gd,7,1,Ex,Attchd,Fin,3.0,885.0,TA,TA,Y,210,2,2006,42.05403,-93.655503,31
995,115000,30,RM,51.0,6120,Reg,BrkSide,1Fam,1Story,5,6,1925,1999,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,0.0,960.0,960.0,Gd,Y,SBrkr,995,0,0,0.0,0.0,1,0,2,TA,5,0,None,Detchd,Unf,1.0,264.0,TA,TA,Y,0,3,2009,42.0324029,-93.6227499,66
2559,209000,60,RL,88.0,12128,IR1,SawyerW,1Fam,2Story,6,4,1989,1989,HdBoard,BrkFace,232.0,Gd,TA,CBlock,Gd,TA,No,ALQ,549.0,0.0,319.0,868.0,Ex,Y,SBrkr,1313,1246,0,0.0,0.0,2,1,4,Ex,9,1,TA,Attchd,RFn,2.0,506.0,TA,TA,Y,0,11,2006,42.0326207,-93.6829737,413
2087,187500,60,RL,82.5,12205,IR1,ClearCr,1Fam,2Story,6,8,1966,2007,HdBoard,BrkFace,157.0,TA,TA,CBlock,TA,Fa,Gd,LwQ,568.0,0.0,264.0,832.0,Gd,Y,SBrkr,976,1111,0,0.0,0.0,2,1,5,Gd,9,0,None,Attchd,Fin,2.0,444.0,TA,TA,Y,133,7,2007,42.024752,-93.6824297,168
1958,220000,60,RL,75.0,9317,Reg,SawyerW,1Fam,2Story,7,5,1994,2001,VinylSd,None,0.0,Gd,Gd,PConc,Gd,Gd,No,GLQ,497.0,0.0,282.0,779.0,Ex,Y,SBrkr,1029,929,0,1.0,0.0,2,1,3,Gd,7,1,TA,Attchd,RFn,2.0,499.0,TA,TA,Y,202,7,2007,42.0314335,-93.6812805,93
790,91000,30,RL,52.0,6292,Reg,SWISU,1Fam,1Story,6,5,1930,1950,Wd Sdng,None,0.0,TA,TA,BrkTil,Gd,TA,Mn,Rec,384.0,0.0,384.0,768.0,TA,N,SBrkr,790,0,0,0.0,0.0,1,0,2,TA,4,0,None,Detchd,Unf,1.0,160.0,Fa,TA,Y,0,4,2008,42.0165665,-93.6482843,141
974,93500,20,RL,63.0,10712,Reg,Mitchel,1Fam,1Story,5,5,1991,1992,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Mn,BLQ,212.0,0.0,762.0,974.0,TA,Y,SBrkr,974,0,0,0.0,0.0,1,0,3,TA,5,0,None,None,None,0.0,0.0,None,None,Y,0,9,2007,41.9863741,-93.6054967,28
1092,79400,160,RM,21.0,1484,Reg,MeadowV,TwnhsE,2Story,4,4,1972,1972,CemntBd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,252.0,0.0,294.0,546.0,TA,Y,SBrkr,546,546,0,0.0,0.0,1,1,3,TA,5,0,None,Attchd,Unf,1.0,253.0,TA,Fa,Y,0,5,2006,41.99232019999999,-93.6032812,0
2320,259500,70,RL,61.0,7259,IR1,Crawfor,1Fam,2Story,6,8,1945,2002,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,774.0,150.0,104.0,1028.0,Ex,Y,SBrkr,1436,884,0,1.0,0.0,2,1,3,Gd,9,1,TA,Detchd,Unf,1.0,180.0,TA,TA,Y,224,7,2007,42.015639,-93.6428003,0
2464,417500,20,RL,105.0,13693,Reg,NridgHt,1Fam,1Story,8,5,2007,2007,VinylSd,Stone,554.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1728.0,495.0,195.0,2418.0,Ex,Y,SBrkr,2464,0,0,1.0,0.0,2,1,4,Ex,9,1,Ex,Attchd,Fin,3.0,650.0,TA,TA,Y,358,8,2008,42.0623645,-93.657769,78
1268,132000,20,RL,78.0,7800,Reg,NAmes,1Fam,1Story,5,6,1954,1954,HdBoard,BrkFace,200.0,TA,TA,PConc,TA,TA,No,LwQ,540.0,0.0,728.0,1268.0,Gd,Y,SBrkr,1268,0,0,0.0,0.0,1,0,2,TA,7,1,Gd,Attchd,Fin,1.0,244.0,TA,TA,Y,0,3,2010,42.0378969,-93.621246,98
2956,342000,60,RL,99.0,13069,IR1,NridgHt,1Fam,2Story,8,5,2004,2004,VinylSd,BrkFace,502.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,0.0,1706.0,1706.0,Ex,Y,SBrkr,1718,1238,0,0.0,0.0,2,1,5,Ex,11,1,Ex,BuiltIn,RFn,3.0,916.0,TA,TA,Y,194,8,2007,42.0597096,-93.656264,50
1240,194000,20,RL,74.0,8556,Reg,CollgCr,1Fam,1Story,7,5,2006,2006,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,0.0,1240.0,1240.0,Ex,Y,SBrkr,1240,0,0,0.0,0.0,2,0,2,Gd,5,0,None,Attchd,RFn,3.0,826.0,TA,TA,Y,140,5,2007,42.024794,-93.690067,93
1625,235000,120,RM,44.0,4750,IR1,Crawfor,TwnhsE,1Story,8,5,2006,2007,VinylSd,Stone,481.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1573.0,0.0,0.0,1573.0,Ex,Y,SBrkr,1625,0,0,1.0,1.0,2,0,2,Gd,5,1,Gd,Attchd,Fin,2.0,538.0,TA,TA,Y,123,12,2007,42.009569,-93.61521,153
1117,136870,20,RL,69.0,7590,Reg,NAmes,1Fam,1Story,5,5,1963,1963,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,0.0,1117.0,1117.0,Ex,Y,SBrkr,1117,0,0,0.0,0.0,1,0,3,TA,6,0,None,Attchd,Unf,1.0,264.0,TA,TA,Y,0,5,2008,42.0365795,-93.6035383,0
1113,147000,20,RL,80.0,9600,Reg,NAmes,1Fam,1Story,5,7,1950,2007,MetalSd,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,607.0,0.0,506.0,1113.0,Gd,Y,SBrkr,1113,0,0,0.0,0.0,1,0,3,Gd,5,1,Gd,Attchd,Unf,1.0,264.0,TA,TA,Y,0,7,2009,42.0367817,-93.6223145,200
2144,277000,50,RL,394.65845909451946,159000,IR2,ClearCr,1Fam,1.5Fin,6,7,1958,2006,Wd Sdng,BrkCmn,472.0,Gd,TA,CBlock,Gd,TA,Gd,Rec,697.0,0.0,747.0,1444.0,Gd,Y,SBrkr,1444,700,0,0.0,1.0,2,0,4,Gd,7,2,TA,Attchd,Fin,2.0,389.0,TA,TA,Y,0,6,2007,42.0278708,-93.6833609,98
1598,201490,60,RL,59.0,9171,IR1,Gilbert,1Fam,2Story,7,5,2004,2005,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,0.0,848.0,848.0,Ex,Y,SBrkr,848,750,0,0.0,0.0,2,1,3,Gd,7,1,Gd,Attchd,Fin,2.0,433.0,TA,TA,Y,100,7,2006,42.06088219999999,-93.6434131,48
1112,85000,160,RM,36.0,2592,Reg,MeadowV,TwnhsE,2Story,5,3,1976,1976,CemntBd,None,0.0,TA,TA,CBlock,Gd,TA,No,Rec,129.0,232.0,175.0,536.0,TA,Y,SBrkr,536,576,0,0.0,0.0,1,1,3,TA,4,0,None,Attchd,Unf,1.0,336.0,TA,TA,Y,182,4,2010,41.991967,-93.604501,0
833,149900,20,RL,76.0,12887,Reg,Mitchel,1Fam,1Story,5,7,1984,1984,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Mn,Rec,207.0,590.0,36.0,833.0,TA,Y,SBrkr,833,0,0,1.0,0.0,1,0,2,Gd,5,0,None,Attchd,Unf,2.0,495.0,TA,TA,Y,431,4,2010,41.9889492,-93.6035186,0
1564,174500,70,RL,75.0,12000,Reg,Crawfor,1Fam,2Story,7,7,1941,1950,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,275.0,0.0,429.0,704.0,Ex,Y,SBrkr,860,704,0,0.0,0.0,1,1,3,Fa,7,1,Gd,Attchd,Unf,1.0,234.0,TA,TA,Y,0,7,2009,42.0143422,-93.6432175,0
2291,133900,190,C (all),60.0,7200,Reg,OldTown,2fmCon,2.5Unf,6,6,1910,1998,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,Mn,Rec,1046.0,0.0,168.0,1214.0,Ex,N,SBrkr,1260,1031,0,0.0,1.0,2,0,4,TA,9,1,Gd,Detchd,Unf,2.0,506.0,TA,TA,Y,0,11,2007,42.0277827,-93.612421,99
1626,173000,160,RL,36.0,2268,Reg,NridgHt,Twnhs,2Story,7,5,2003,2004,VinylSd,Stone,106.0,Gd,TA,PConc,Gd,TA,No,GLQ,567.0,0.0,197.0,764.0,Ex,Y,SBrkr,764,862,0,0.0,0.0,2,0,2,Gd,6,0,None,BuiltIn,RFn,2.0,474.0,TA,TA,Y,0,7,2009,42.0574489,-93.6501545,27
1733,225000,60,RL,82.5,12394,IR1,Gilbert,1Fam,2Story,7,5,2003,2003,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,0.0,847.0,847.0,Ex,Y,SBrkr,847,886,0,0.0,0.0,2,1,3,Gd,7,1,Gd,BuiltIn,Fin,2.0,433.0,TA,TA,Y,100,10,2007,42.0612755,-93.6398846,48
894,109500,20,RL,60.0,6600,Reg,NAmes,1Fam,1Story,5,5,1962,1962,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,0.0,894.0,894.0,Gd,N,SBrkr,894,0,0,0.0,0.0,1,0,2,TA,5,0,None,Detchd,Unf,1.0,308.0,TA,TA,Y,0,8,2009,42.035473,-93.6034726,0
1384,159000,20,RL,70.0,13300,Reg,NAmes,1Fam,1Story,5,5,1956,2001,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,494.0,0.0,521.0,1015.0,Gd,Y,SBrkr,1384,0,0,1.0,0.0,1,0,2,TA,6,0,None,Attchd,Unf,2.0,896.0,TA,TA,Y,75,6,2006,42.039464,-93.6119462,323
1501,179400,160,FV,24.0,2280,Reg,Somerst,Twnhs,2Story,7,5,1999,1999,MetalSd,BrkFace,360.0,TA,TA,PConc,Gd,TA,No,ALQ,549.0,0.0,195.0,744.0,Gd,Y,SBrkr,757,744,0,0.0,0.0,2,1,3,TA,6,0,None,Detchd,Unf,2.0,440.0,TA,TA,Y,0,8,2008,42.047191,-93.646368,0
2267,219000,70,RL,107.0,12888,Reg,Sawyer,1Fam,2Story,7,8,1937,1980,Wd Sdng,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,288.0,0.0,717.0,1005.0,TA,Y,SBrkr,1262,1005,0,1.0,0.0,1,1,3,TA,7,2,Gd,Attchd,Fin,2.0,498.0,TA,TA,Y,521,4,2007,42.03399719999999,-93.655995,0
1626,175500,160,RL,36.0,2628,Reg,NridgHt,Twnhs,2Story,7,5,2003,2003,VinylSd,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,0.0,764.0,764.0,Ex,Y,SBrkr,764,862,0,0.0,0.0,2,1,2,Gd,6,0,None,BuiltIn,RFn,2.0,474.0,TA,TA,Y,0,6,2010,42.057094,-93.6508624,27
1584,261329,20,FV,84.0,10440,Reg,Somerst,1Fam,1Story,8,5,2007,2007,CemntBd,None,0.0,Ex,TA,PConc,Gd,TA,Mn,Unf,0.0,0.0,1574.0,1574.0,Ex,Y,SBrkr,1584,0,0,0.0,0.0,2,0,2,Ex,6,1,Gd,Attchd,Fin,2.0,594.0,TA,TA,Y,0,5,2007,42.0514894,-93.6445622,256
1950,383000,20,RL,104.0,14418,IR1,NridgHt,1Fam,1Story,9,5,2007,2007,VinylSd,BrkFace,480.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1375.0,0.0,575.0,1950.0,Ex,Y,SBrkr,1950,0,0,1.0,0.0,2,0,2,Ex,7,1,Gd,Attchd,Fin,3.0,706.0,TA,TA,Y,156,5,2008,42.0609997,-93.6569769,207
1515,179000,60,RL,80.0,9024,IR1,Gilbert,1Fam,2Story,6,5,2004,2004,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,0.0,789.0,789.0,Ex,Y,SBrkr,813,702,0,0.0,0.0,2,1,3,Gd,8,1,Gd,Attchd,Fin,2.0,393.0,TA,TA,Y,0,7,2008,42.0611341,-93.6429048,75
1560,103500,20,RL,70.0,11767,Reg,Edwards,1Fam,1Story,5,5,1956,1956,HdBoard,BrkFace,259.0,TA,TA,CBlock,TA,TA,No,Rec,546.0,0.0,604.0,1150.0,Ex,Y,SBrkr,1560,0,0,0.0,0.0,1,0,2,TA,7,1,TA,Attchd,Unf,1.0,313.0,TA,TA,Y,0,5,2009,42.0193549,-93.6645025,0
